tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,budget,id_TMDB,origin_country,original_language,overview,popularity_film,poster_path,revenue,spoken_languages,tagline,b_annonce,key_words
tt0068655,Le grand blond avec une chaussure noire,1972,90,"Comedy,Mystery",7.2,9490,0.0,12089,['FR'],fr,"François Perrin (Pierre Richard) arrive à Orly avec aux pieds une chaussure marron et l'autre noire.  Une aubaine pour Perrache (Paul Le Person), adjoint du colonel Toulouse (Jean Rochefort), chef d'un service secret, que ce jeune violoniste fantasque. Il le choisit, à ses dépens, pour jouer le rôle d'un redoutable espion internationa parce que Toulouse veut détruire son adjoint, le colonel Milan (Bernard Blier). Toulouse, las de défendre sa place contre son très ambitieux adjoint Milan, a décidé de s'en débarrasser une fois pour toute, en le lançant sur une fausse piste. Une guerre des services secrets manipulant les vies de quelques civils pour régler leurs querelles personnelles...",12.505,https://media.themoviedb.org/t/p/original/2iu30WmEWRjmMKiX8aFqp4iScJ6.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]","« Prenez un anonyme, au hasard dans la foule »",https://www.youtube.com/watch?v=2z1r2xL_x24,"['undercover', 'espionage', 'intelligence', 'decoy', 'mistaken identity', 'violinist', 'dress', 'misunderstanding', 'extramarital affair', 'secret service', 'professional jealousy']"
tt0069097,"Play It Again, Sam",1972,85,"Comedy,Romance",7.6,28320,0.0,11610,['US'],en,"Un cinéphile averti, passionné par les œuvres et le personnage qu'incarne Humphrey Bogart à l'écran, se consacre entièrement à cet art au point d'en délaisser sa femme Nancy qui demande le divorce et le laisse seul. Désemparé, il erre de psychiatre en psychanalyste. Un couple d'amis décide alors de le prendre en charge et de lui faire rencontrer d'autres femmes. Malgré les conseils techniques de son hallucination permanente, ces relations ne sont guère couronnées de succès. Parviendra-t-il au bout de sa quête amoureuse ?",6.994,https://media.themoviedb.org/t/p/original/rzB4gzglUklGoih7dyWQaiMTsbA.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","On se moque de toi, gamin.",https://www.youtube.com/watch?v=GCBbjrk_RoA,"['date', 'hallucination', 'make a match', 'dating', 'filmmaking', 'feet', 'ghost', 'neurotic', 'film critic']"
tt0069369,Themroc,1973,100,Comedy,7.0,1693,0.0,7014,['FR'],fr,"Themroc est un ouvrier qui surprend un jour son patron en train de tromper sa femme avec une secrétaire ! Son chef tentant de le faire taire, il s'enfuit et part se barricader chez lui, retenant par la même occasion sa mère et sa soeur en otage. Themroc cède rapidement à la folie et la police va tenter d'intervenir...",2.619,https://media.themoviedb.org/t/p/original/3mhlyt3qnH5Jpi21oGChl00Iko5.jpg,0.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",L'homme des cavernes urbain.,https://www.youtube.com/watch?v=t5DnLglOy8A,['absurdism']
tt0069383,Tintin et le lac aux requins,1972,81,"Adventure,Animation,Crime",6.2,3082,0.0,241004,['FR'],fr,"Le professeur Tournesol vient d'inventer une sorte de photocopieur en trois dimensions, capable de reproduire n'importe quel objet. Hélas, le sinistre Rastapopoulos parvient à s'emparer de l'appareil afin de reproduire frauduleusement des oeuvres d'art volées... Tintin parviendra t'il à déjouer ses plans ?",11.256,https://media.themoviedb.org/t/p/original/jAGiGqoKgCKzMNuLGX5utQ4YbgV.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=4oFEgFF7_jg,['reporter']
tt0069400,Trafic,1971,96,Comedy,7.0,7693,0.0,11378,['FR'],fr,"Dessinateur chez Altra, une petite entreprise parisienne en pleine expansion, monsieur Hulot a inventé une voiture de camping révolutionnaire, équipée d'une tente et de multiples gadgets. Ses employeurs tiennent absolument à présenter cette merveille d'ingéniosité au Salon de l'automobile qui se tiendra bientôt à Amsterdam. Après avoir chargé le prototype sur un camion, monsieur Hulot prend la direction des Pays-Bas, accompagné d'une attachée de presse. Dès la sortie de Paris, le convoi s'engage sur une autoroute surchargée. Embouteillages, crevaison, panne d'essence, accident, contrôle des douanes : la fatalité n'épargnera rien au génial inventeur...",7.998,https://media.themoviedb.org/t/p/original/wWE4Hy7zoOVOVJpKSaNAzYTHqLy.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Les rires se succèdent à un rythme effréné,https://www.youtube.com/watch?v=-S2hRXV41S0,"['inventor', 'modernity', 'modern society', 'road trip', 'traffic jam', 'messe', 'road traffic', 'road movie', 'car designer']"
tt0069460,Le viager,1972,101,Comedy,6.9,1300,0.0,62363,['FR'],fr,"Au debut des années 30, condamné à terme par son médecin, un célibataire de 59 ans met en viager une proprieté à Saint-Tropez. Mais il s'obstine à ne pas mourir, ce qui ne fait pas l'affaire de tout le monde...",5.299,https://media.themoviedb.org/t/p/original/axblx8rNjqvNXH3rolqKkWWUAeq.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=yBjQjg0-AR8,"['country house', 'world war ii', 'attempted murder', 'family history', 'saint-tropez, france', 'old man', 'centenarian', 'timeline', '1940s', '1950s', '1960s', '1930s', 'life annuity']"
tt0069704,American Graffiti,1973,110,"Comedy,Drama",7.4,100605,777000.0,838,['US'],en,"En 1962, les destins croisés d'un groupe de jeunes dans une bourgade de Californie, autour des courses de voitures, de la musique rock, des soirées et des rencontres.",17.789,https://media.themoviedb.org/t/p/original/1bvAKQW9MuHiIGSnbuny0GGdwp1.jpg,140000000.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Où étiez-vous en 1962 ?,https://www.youtube.com/watch?v=fsV1ZCsxPmQ,"['farewell', 'california', ""rock 'n' roll"", 'robbery', 'airplane', 'car race', 'love at first sight', 'radio station', 'radio presenter', 'radio', 'vandalism', 'coming of age', 'semi autobiographical', 'child', '1960s']"
tt0069747,Les aventures de Rabbi Jacob,1973,95,"Adventure,Comedy",7.4,15179,0.0,760,['FR'],fr,"À la suite d’un quiproquo, un homme d’affaires irascible et raciste, se retrouve confronté malgré lui à un règlement de compte entre terroristes d’un pays arabe. Afin de semer ses poursuivants, il se déguise en rabbin, après avoir croisé à Orly des religieux juifs en provenance de New‐York.",9.403,https://media.themoviedb.org/t/p/original/lf6D4UZ7khLmpRRzKF7OQRmgISc.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Hebrew', 'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'english_name': 'Yiddish', 'iso_639_1': 'yi', 'name': ''}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=TGx2DwPq8AA,"['new york city', 'prisoner', 'airport', 'paris, france', 'red hair', 'liberation of prisoners', 'mistake in person', 'jewry', 'revolution', 'hearing', 'prosecution', 'fake identity', 'chewing gum', 'rabbi', 'synagogue', 'bar mitzvah', 'wedding', 'anarchic comedy']"
tt0069815,La bonne année,1973,115,"Comedy,Crime,Drama",7.3,2046,0.0,76329,['FR'],fr,"Un gangster prépare, avec son complice, ce qu'il qualifie de « premier hold-up psychologique de l'histoire du banditisme ». Juste à côté de la bijouterie Van Cleef & Arpels, sur la Croisette, à Cannes, se trouve la boutique d'une belle antiquaire qui attire le regard du malfrat. Le cambrioleur et l'antiquaire s'éprennent l'un de l'autre. Il est sympathique mais sans raffinement, elle est cultivée et indépendante mais découvre au contact de Simon que la vanité de son milieu lui pèse, et qu'elle désire une histoire d'amour simple et franche. Le plan du hold-up que prépare longuement le cambrioleur est à peine plus sophistiqué que ses manœuvres de séduction.",4.69,https://media.themoviedb.org/t/p/original/cavfiEz1rNRQQlJuKGyuInrCwCy.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=Rms3Lq-ZCQw,"['jewel', 'jewelry store']"
tt0070290,The Last Detail,1973,104,"Comedy,Drama",7.5,29103,2300000.0,14886,['US'],en,"Deux marins de l’U.S. Navy,“Bad Ass” Buddusky et “Mule” Mulhall reçoivent pour mission d’escorter l’un des leurs, Meadows, à la prison militaire de Northfolk, où il doit purger une peine de prison pour avoir tenté de dérober la caisse d’une association de charité dirigée par la femme d’un amiral.",8.382,https://media.themoviedb.org/t/p/original/mCQWl3R4E0e5LJ0I4yRUiZi5exT.jpg,10000000.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=FKLcbhCnNe4,"['washington dc, usa', 'based on novel or book', 'u.s. navy', 'road trip', 'maine', 'convict', 'prison sentence', 'sailor', 'train travel', 'shore patrol', 'buddy movie', 'prisoner escort']"
